,title,imdb_id,budget,revenue
361,Eye of the Sandman,668616,0,0
362,Faces,753,275000,0
363,Morita - La hija de Jesus,-1,-1,-1
364,Fire Island,612168,0,0
365,Bitter Rain,-1,-1,-1
366,Phobia 2,37963,0,5030049
367,Potiche,51447,0,1611000
368,Split Second Murders,155290,0,0
369,A Span of Heaven,717194,0,0
370,"Ashkan, the Charmed Ring and Other Stories",359225,0,0
371,Vanishing of the Bees,62323,0,0
372,S.L.A.,-1,-1,-1
373,200 Pounds,18377,4000000,0
374,Show Me the Ghost,840526,0,0
375,I Want to Make a Movie,857713,0,0
376,Victims on Lake Volta,-1,-1,-1
377,Disc Golf Land,-1,-1,-1
378,Mark of Love,208191,0,0
379,Maskhead,88604,0,0
380,Call Me Sandy,-1,-1,-1
381,Neither Day Nor Night,331312,0,0
382,Never Make It Home,273656,0,0
383,Hollywood Mouth,-1,-1,-1
384,Nightfur,275525,0,0
385,Shut Up and Dance,-1,-1,-1
386,Obselidia,84556,0,0
387,Adventure Thru the Walt Disney Archives,719917,0,0
388,I Am Gitmo,-1,-1,-1
389,Fighting Indians,848856,0,0
390,Only Go There at Night: Darkness Rising,671182,0,0
391,Only in L.A.,577224,0,0
392,37: The Movie,813741,0,0
393,Premise of Duality,-1,-1,-1
394,Psychopath,74397,0,0
395,Pure Shock Value,-1,-1,-1
396,The Last Lovecraft: Relic of Cthulhu,53237,0,0
397,"Roll Out, Cowboy",279518,0,0
398,Scientists Under Attack: Genetic Engineering in the Magnetic Field of Money,-1,-1,-1
399,Curse of the Shaolin,383708,0,0
400,Shooting Script,-1,-1,-1
401,Solo: An Artist's Story,-1,-1,-1
402,Songs from the Nickel,167246,0,0
403,Inside Antifa,-1,-1,-1
404,Still a Teen Movie,218656,0,0
405,Strangers on Parade,-1,-1,-1
406,Comic Book Shop,883209,0,0
407,SynchroNYCity,-1,-1,-1
408,Never Coming Back,883214,0,0
409,Omar. How Not to Be Different,883221,0,0
410,Win/Win,55725,10831173,10654385
411,Dashil Hernandez DASH x Only Members Club,-1,-1,-1
412,The Last Generation,337926,0,0
413,Lion Adv,-1,-1,-1
414,Herbert. Barbarian in the Garden,883213,0,0
415,Polish Self-Portrait,883223,0,0
416,Fury,839436,0,0
417,Escape to the Silver Globe,862416,328000,0
418,Power Rangers Legacy,-1,-1,-1
419,Armageddon for Andy,745619,0,0
420,The True Adventures of the Real Beverly Hillbillies,-1,-1,-1
421,Trim,295902,0,0
422,100 Minutes,577040,0,0
423,Who Needs You,-1,-1,-1
424,Where Do We Belong?,855603,2000,0
425,Tribal,709621,0,0
426,Imagine,470878,7000000,86026201
427,Mystery in the Woods,-1,-1,-1
428,"Gabi, Between Ages 8 and 13",816378,0,0
429,Fireboys,869390,0,0
430,Holbrook Boys,-1,-1,-1
431,Townhouse Confidential,-1,-1,-1
432,The Big Gift,-1,-1,-1
433,10 Questions for Henry Ford,-1,-1,-1
434,Simmons on Vinyl,-1,-1,-1
435,Severus: The Black Caesar - Geta and Severus,-1,-1,-1
436,Forbidden Love,193720,0,0
437,Art = (Love)²,393993,0,0
438,Aspirin,402077,0,0
439,Panic Nation,-1,-1,-1
440,Searching for the Elephant,40099,0,0
441,Apocalypse According to Doris,-1,-1,-1
442,The Battle of the Broken Spoons,-1,-1,-1
443,The Bunny Game,84520,0,0
444,The Oath,520596,0,0
445,The Tourists,610038,0,0
446,Thursday's Lovers,-1,-1,-1
447,Return to Danger,-1,-1,-1
448,Women Warriors: The Voices of Change,869877,300000,0
449,3 on a Match,333267,0,0
450,Arctic Blast,45556,5000000,0
451,Undisputed Legends,-1,-1,-1
452,Hana Surf Girls,-1,-1,-1
453,Haynesville: A Nation's Hunt for an Energy Future,-1,-1,-1
454,Jason's Big Problem,594555,0,0
455,Leon Blum,276183,0,0
456,The Love Project Journey,-1,-1,-1
457,Trash to Treasure,823765,0,0
458,Mind of Its Own,770574,0,0
459,The Pain,18128,0,0
460,Raise Your Head,62349,0,0
461,Benji's Hour,-1,-1,-1
462,Networker Baire,860039,0,0
463,Cancer Free Recipe,-1,-1,-1
464,The Mystery of Coral Castle,-1,-1,-1
465,Not Worth a Fig,807353,0,0
466,"Dogs, Cats & Humans",-1,-1,-1
467,Me and Marilyn,117553,13000000,2570145
468,Kaboom,46837,0,635162
469,Kill Katie Malone,48836,3000000,0
470,Valley of the Wolves: Gladio,35747,0,0
471,Love & Slaps,58204,0,0
472,Ukraïner. The Movie,-1,-1,-1
473,The Passion,615,30000000,611899420
474,Naked of Defenses,115573,0,0
475,Jolly Life,776007,0,0
476,Luc Longley and the missing chapter of the Last Dance Full documentary Australian Story,-1,-1,-1
477,The Haunting at Woodland Hills,417180,35000,0
478,"William Krisel, Architect",341091,0,0
479,Hotsunlight,855096,0,0
480,The Deep Woods,103132,0,0
481,UNSANE Movie,-1,-1,-1
482,Upload Me,-1,-1,-1
483,Answers to Nothing,75576,0,0
484,Fragments of a Search,-1,-1,-1
485,Dune: Part Two,693134,0,0
486,The Severance Theory: Welcome to Respite,-1,-1,-1
487,The Swedish Scarf,-1,-1,-1
488,Tomorrow's End,-1,-1,-1
489,Paradise Recovered,193283,0,0
490,Pecados de mi padre,46558,0,0
491,Monster in the Shadows,-1,-1,-1
492,1 Out of 7,110504,0,0
493,Ebenezer Falls,-1,-1,-1
494,70 Some Odd Hours,-1,-1,-1
495,The Ted Haggard Monologues,-1,-1,-1
496,Virginia Creepers: The Horror Host Tradition of the Old Dominion,85707,0,0
497,Why Hire a Killer?,-1,-1,-1
498,A True Story,29911,0,14000000
499,Bhutto,62325,0,0
500,Bethlehem to Brooklyn: Breaking the Surface,-1,-1,-1
501,Born Again Herman,-1,-1,-1
502,Butterfly Rising,508379,0,0
503,Candyman,565028,25000000,77389310
504,Collapse,28227,0,0
505,Delusions of Grandeur,529631,150,0
506,Egg Nog,-1,-1,-1
507,Hitler's Grave,-1,-1,-1
508,Knucklehead,44946,0,0
509,Orcs!,66470,150000,0
510,Contraband,77866,25000000,96262212
511,A Broken System,-1,-1,-1
512,"A Dot and a Line, a Fade",-1,-1,-1
513,All My Friends Are Funeral Singers,40657,0,0
514,Bird's Eye View,855933,0,0
515,You Are the One,57037,0,0
516,Carnivale di Venezia,-1,-1,-1
517,Cherries and Clover,-1,-1,-1
518,Day Camp,14144,6000000,18197398
519,Noah's Shark,861165,0,0
520,Death of the Virgin,128558,0,0
521,Murder Inc Documentary,-1,-1,-1
522,Slam Dunk,39129,0,0
523,A Scorched Earth,347111,0,0
524,Silent Movie Renaissance,-1,-1,-1
525,Requiem for a Saloon Girl,-1,-1,-1
526,RISE OF THE SUPER SOLDIER: THE NEW BLOOD,-1,-1,-1
527,Family Work,512671,0,0
528,Welcome at Esposito's,-1,-1,-1
529,Swerv the Movie,-1,-1,-1
530,Unwelcome in Tehran,-1,-1,-1
531,The Atlas Moth,283732,0,0
532,Titanius,-1,-1,-1
533,Homöopathie unwiderlegt?,869712,0,0
534,Guitar Holiday,-1,-1,-1
535,I'm Not Like That No More,44948,0,0
536,In Memoriam,484296,0,0
537,The Innocent Man in Love,-1,-1,-1
538,King's Road,355846,0,0
539,Lost Angel,190895,0,0
540,Love & Tambourines,-1,-1,-1
541,15 Lads,-1,-1,-1
542,Perdida,513223,667000,0
543,The Holiday Fix Up,881245,0,0
544,The Vatican Tapes,157544,13000000,1784763
545,Many Fires This Time: We the 100 Million,884389,0,0
546,The King a Christmas Story from a Heavenly Perspective,-1,-1,-1
547,TRUST NOBODY,-1,-1,-1
548,Catwoman: Hunted,862491,0,0
549,My Frequency,-1,-1,-1
550,Shallow End,388988,0,0
551,Vacation,653349,0,0
552,American Street Kid,567617,0,0
553,The Next Door Neighbor,407687,0,0
554,Granny Butt-Fuck,-1,-1,-1
555,Negativity,-1,-1,-1
556,Gravedigger Dave's Anthology Festival,859497,0,0
557,The Squad: Rise of the Chicano Squad,-1,-1,-1
558,Rifftrax Live: Hobgoblins,885403,0,0
559,Comedy House of Tragedy,-1,-1,-1
560,Loons,308331,0,0
561,Little Brother,236279,0,0
562,The Old Mafia Guy,-1,-1,-1
563,Bullet Ballet,25951,0,0
564,Ankahi Kahaniya,862701,0,0
565,Familiars,861367,0,0
566,Minsky,131407,0,0
567,Rise and Fall: The World Trade Center,873598,0,0
568,9/11: Four Flights,874443,0,0
569,9/11: I Was There,873368,0,0
570,Tourist,37710,100000000,278731369
571,Esthers Orkester,-1,-1,-1
572,Inner Child,-1,-1,-1
573,The Prize,4025,0,0
574,Blues on Beale,465914,12000000,20572691
575,For Liberty: How the Ron Paul Revolution Watered the Withered Tree of Liberty,46524,4000,0
576,For the Life of Me,-1,-1,-1
577,Garbage Island,-1,-1,-1
578,Grabbers,84204,0,0
579,Lipstick,59809,0,0
580,Return to Oz: The Joy That Got Away,-1,-1,-1
581,Teenage Witness: The Fanya Heller Story,-1,-1,-1
582,The Epigone,-1,-1,-1
583,One Good Night,-1,-1,-1
584,History Challenged,-1,-1,-1
585,Full Time Pimp,-1,-1,-1
586,Brain Death,763850,0,0
587,The Loyals,-1,-1,-1
588,Troubled Chairs,-1,-1,-1
589,From Mass to the Mountain,-1,-1,-1
590,American Rhythms,-1,-1,-1
591,Apart,527641,7000000,91500000
592,Crafted Over Time,-1,-1,-1
593,Damn Dirty Hippies,-1,-1,-1
594,Defining Beauty: Ms. Wheelchair America,-1,-1,-1
595,Magic Camp,454433,24000000,0
596,Surrogate Stories,-1,-1,-1
597,You People,191489,0,0
598,Three Eras,904468,20000,0
599,The Wraith's,-1,-1,-1
600,Moonless Nights,-1,-1,-1
601,14-sai no harawata,-1,-1,-1
602,American Politics All You Can Eat,-1,-1,-1
603,Budda saitan,-1,-1,-1
604,Inversion,279093,0,0
605,The Experiment,43549,21800000,0
606,Gantz,56832,0,0
607,Gantz: Perfect Answer,74135,0,0
608,Gun Hill Road,65953,119567,0
609,Gwen Stefani: Not Just A Girl,857950,0,0
610,Mariah Carey: Darling Diva,857891,0,0
611,The Entity,24740,9000000,13277558
612,Fame Kills: Whitney Houston,857717,0,0
613,Saru Lock the Movie,62423,0,0
614,Colors in the Dark,77513,0,1692948
615,Sweet Home Alabama,11529,30000000,180622424
616,Tampa City Held at Bay,-1,-1,-1
617,The Space Between,536728,0,0
618,The Great Vazquez,57413,0,0
619,Tall Corn Euforia,-1,-1,-1
620,The Male Gaze: Three's Company,864180,0,0
621,8MM Boys,877063,0,0
622,Bulletproof Wings,-1,-1,-1
623,A Faraway Land,863103,0,0
624,Queen in LA,397867,0,0
625,Lily Darling,-1,-1,-1
626,Doll Killer 2,891195,0,0
627,Ute: Keeping the Spirit,-1,-1,-1
628,29 Years - A Second Chance at Life,-1,-1,-1
629,ASPIRE VOL II: The Red Carpet,-1,-1,-1
630,A Stalker in the House,890244,400000,0
631,Shady Grove,756843,0,0
632,My Best Friend,13596,20000000,41624687
633,Goodnight Cleveland,315512,0,0
634,Christine's Wager,-1,-1,-1
635,Straight to the Bone,-1,-1,-1
636,Suryasthamayam,-1,-1,-1
637,High Five,114212,0,0
638,The Conflict Zone,-1,-1,-1
639,The End of Silence,30235,0,0
640,Angela,752455,0,0
641,Konda Polam,881478,0,0
642,Oprah Winfrey: Fight for a Better Life,-1,-1,-1
643,Ratnan Prapancha,729030,0,0
644,Lewis Hamilton: The Winning Formula,-1,-1,-1
645,Silent Madness: Audio Commetary with Director Simon Nuchtern and Author Michael Gingold,-1,-1,-1
646,Deadly Beauty,697798,0,0
647,Skip Tracezd,-1,-1,-1
648,New Low,85455,2000,0
649,The Last Altruist,-1,-1,-1
650,"On a Carousel of Sound, We Go Round",232427,0,0
651,Out of Place,594048,0,0
652,People Business,512010,0,0
653,Perfect 10,582908,0,0
654,Sister of Night,225850,0,0
655,"The Hauntings of Jefferson, Texas",-1,-1,-1
656,Cupid-19,-1,-1,-1
657,Birth of Speed,-1,-1,-1
658,Desert Kings,-1,-1,-1
659,The Life of Peter Gottlieb,-1,-1,-1
660,Trivial,474508,0,0
661,Who the F#@K is Herbie Herbert?,-1,-1,-1
662,Untitled Birds of Prey/Black Canary Project,-1,-1,-1
663,Second Date,525696,0,0
664,Story of Women,820907,0,0
665,Don't Be Here After Dark,-1,-1,-1
666,Abhiyum Naanum,40617,0,0
667,Bunker to Bunker,-1,-1,-1
668,The Dead Zone: Audio Commentary with Film Historian Michael Gingold,-1,-1,-1
669,Cowboys: Gang Life 4 Ever,148262,0,0
670,Islands: Georgy Rerberg,391553,0,0
671,Ninja Kidz Sonic the Hedgehog Movie,-1,-1,-1
672,Tender Son: The Frankenstein Project,73311,0,0
673,Aglaya,205819,0,0
674,Nomads,26725,2278264,0
675,Melancholia,62215,7400000,15946321
676,Nora,43303,0,0
677,Territory 313 vs 734,-1,-1,-1
678,Junk Food,590885,0,0
679,Mise en Place: Conquering the Marsala,-1,-1,-1
680,Kindling,387860,0,0
681,Don't Let Me Stay,-1,-1,-1
682,Time Capsule,517055,0,0
683,Polar Bears,147177,0,0
684,Summer Skies,-1,-1,-1
685,A Real Man's Love in A Woman's World,-1,-1,-1
686,Akong: A Remarkable Life,458630,0,0
687,Know Your Place,795683,0,0
688,Finding Lionel,-1,-1,-1
689,In This Room,487160,0,0
690,From the Community to the Classroom,712646,0,0
691,Hell Is Other People,679116,0,0
692,Jambo Jumbo,300861,0,0
693,Lawn Chairs and Living Rooms,275167,0,0
