tconst,primaryTitle,originalTitle,isAdult,startYear,runtimeMinutes,Adult,Animation,Fantasy,Game-Show,History,Music,Musical,News,Reality-TV,Sci-Fi,Short,Sport,Talk-Show,War,Western,averageRating,numVotes,budget,revenue,isTopActor,isTopDirector
tt6907466,To Be a Teacher,Zwischen den Stühlen,0,2017,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0,73.0,20000000,216197492,False,False
tt6910020,Nothing to Lose,Nada a Perder,0,2018,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.3,22984.0,25000000,44480039,False,False
tt6911608,Mamma Mia! Here We Go Again,Mamma Mia! Here We Go Again,0,2018,114,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6.6,88051.0,75000000,395044706,True,True
tt6914558,Live,Live,0,2018,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.9,14.0,7000000,161777836,False,False
tt6921996,Johnny English Strikes Again,Johnny English Strikes Again,0,2018,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.2,69591.0,25000000,158256993,True,False
tt6924650,Midway,Midway,0,2019,138,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6.7,76942.0,100000000,125641396,True,True
tt6929280,The Dolls,The Dolls,0,2017,77,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6.2,13.0,5000000,50000000,False,False
tt6932874,The Boss Baby: Family Business,The Boss Baby: Family Business,0,2021,107,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5.9,12981.0,82000000,128000000,True,False
tt6933206,Prodigy,Prodigy,0,2018,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,278.0,6000000,21150265,False,False
tt6937724,Eye for an Eye,Eye for an Eye,0,2019,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.2,785.0,20000000,26877589,False,False
tt6947630,Ang Panday,Ang panday,0,2017,128,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5.4,139.0,5084000,10449798,False,False
tt6949172,Bully,Bully,0,2017,58,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7.4,12.0,50000000,55181129,False,False
tt6950594,Perfect World,Pâfekuto wârudo,0,2018,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.6,137.0,30000000,135130999,False,False
tt6958152,One,One,0,2017,148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0,282.0,4000000,85000000,False,False
tt6961146,The Lion,The Lion,0,2018,66,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8.0,29.0,45000000,763455561,False,False
tt6964554,Buy Me,Kupi menya,0,2018,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.2,478.0,1800000,31623833,False,True
tt6966692,Green Book,Green Book,0,2018,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.2,434206.0,23000000,319700000,True,True
tt6967980,Bareilly Ki Barfi,Bareilly Ki Barfi,0,2017,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.5,21879.0,2740700,8050806,False,False
tt6971752,Shubh Mangal Savdhan,Shubh Mangal Saavdhan,0,2017,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.9,9634.0,3425875,8838757,False,False
tt6977338,Good Boys,Good Boys,0,2019,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.7,69702.0,20000000,111037232,True,True
tt6981702,Empowered,Sin rodeos,0,2018,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.8,2262.0,3900000,4200000,True,False
tt6983908,Wallflower,Wallflower,0,2019,84,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6.3,85.0,13000000,33400000,False,False
tt6984230,The Serpent,The Serpent,0,2020,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.5,3016.0,7000000,19595031,False,False
tt6985094,The Juror,Bae-sim-won,0,2019,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.2,713.0,44000000,22754725,False,False
tt6989180,The Darkest,The Darkest,0,2019,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.6,263.0,34000000,41142379,False,False
