# director_name
Frances H. Flaherty
Florian Henckel von Donnersmarck
Barry Jenkins
Greta Gerwig
Bing Wang
Jean Rouch
Charlie Kaufman
Jee-woon Kim
Andrew Dominik
Ben Affleck
J.J. Abrams
Kenneth Branagh
Bill Condon
Nora Ephron
Frank Oz
Debra Granik
Tom McCarthy
Mitchell Leisen
Bille August
Jason Reitman
Bruce Robinson
Michel Hazanavicius
John Madden
Frantisek Vlácil
Bob Clark
Matthew Vaughn
Phil Karlson
Kelly Reichardt
Donald Cammell
Kiyoshi Kurosawa
Arnaud Desplechin
Joe Wright
Adam McKay
Jeff Nichols
Judd Apatow
Derek Cianfrance
Rupert Wyatt
Larry Clark
Michael Moore
David Gordon Green
François Ozon
Jack Cardiff
Duncan Jones
Richard Fleischer
Felix E. Feist
Ewald André Dupont
André De Toth
Gore Verbinski
Jack Arnold
Phillip Noyce
Amy Heckerling
Baz Luhrmann
Mamoru Oshii
Franco Zeffirelli
Arthur Hiller
Mathieu Kassovitz
James Marsh
Michael Crichton
Fred C. Newmeyer
Zack Snyder
Andrew Davis
John Dahl
Rob Marshall
Tim Robbins
David Zucker
George Sluizer
Larisa Shepitko
Idrissa Ouedraogo
Tomás Gutiérrez Alea
Martin McDonagh
Jerry Zucker
Ed Harris
Roberto Benigni
David Mamet
Jim Abrahams
Cary Joji Fukunaga
Lynne Ramsay
Roger Donaldson
Antoine Fuqua
F. Gary Gray
Neil Marshall
Lone Scherfig
Ross McElwee
Ari Folman
Miranda July
Matteo Garrone
James Gray
Gregg Araki
Jon Jost
George Sidney
Andrew Niccol
Billy Bob Thornton
Robert Pulcini
Andrew Lau
Michael Winner
Elia Suleiman
Dalton Trumbo
Vittorio Taviani
Johnnie To
Gordon Parks
John Hillcoat
Cristi Puiu
Sang-soo Hong
Cristian Mungiu
Jan Svankmajer
Elaine May
Andrey Zvyagintsev
Jonathan Glazer
Kon Ichikawa
Mike Hodges
Albert Lamorisse
Joe Dante
Harold Becker
Youssef Chahine
Alexander Kluge
Chuck Jones
Peter Farrelly
Steve Buscemi
Julie Taymor
Doug Liman
Denys Arcand
Raj Kapoor
Mira Nair
Robert Stevenson
Cornel Wilde
Lee Daniels
Jonathan Dayton
Liliana Cavani
Michael Bay
Fred M. Wilcox
Henry Selick
Isao Takahata
Jordan Peele
